Sample,Branched GDGT-III,Branched GDGT-II,Branched GDGT-IIa,Branched GDGT-I,Branched GDGT-Ia,Branched GDGT-Ib,Branched GDGT-IIIa,Branched GDGT-IIb,brGMGT-III,brGMGT-II,brGMGT-I,br GMD I,br GMD III,OB-GDGT-II,OB-GDGT-III,OB-GDGT-IV,OB-GDGT-V,OB-GDGT-I,OB-GDGT-VI,br GDD III,br GDD II,br GDD I,br GDD Ia,br GDD IIa,br GDD IIIa,br GDD Ib
190724ZA,4.1413871027296085e-13,7.831279920717214e-13,,9.975599844138677e-13,6.531400293191619e-13,,,,,,6.813864452232656e-13,,,7.800088029177693e-14,4.270300706525723e-13,2.3386067605404753e-13,1.4626407422644214e-13,,,,,,,,,
190724ZE,,2.4283795368138855e-13,,3.6862601772561364e-13,,,,,,,,,,,,,,,,,,,,,,
190728ZQ,1.5192219210849365e-11,6.718511150343328e-11,6.796229793625829e-12,1.7177783206114658e-10,2.1677664580984797e-11,3.176259096962015e-12,,1.9574875646925256e-12,,1.23351240261658e-12,5.29065383044848e-12,,,5.819564300638963e-12,7.045772453393137e-11,2.927987989654066e-11,1.2428468542697794e-11,5.205127691872911e-13,1.0356976407741945e-12,,1.990375713699737e-12,3.0498080564047545e-12,4.3280897624774593e-13,,,
190728ZS,,1.714739061527852e-12,,2.290059218706375e-12,,,,,,,,,,,8.370317834752075e-13,3.655974348280702e-13,,,,,,,,,,
190728ZT,3.78762200653515e-11,7.17670637269566e-11,4.956034976359353e-12,7.342665846408695e-11,1.2974012242972578e-11,1.3802315721676253e-12,1.0246278204357133e-12,1.0225275758424634e-12,2.309243758344613e-12,,1.7542592076798196e-11,1.630835073324295e-12,,2.677228223760522e-12,9.900613592422919e-12,4.591344392335667e-12,2.595722070226771e-12,5.922487157293346e-13,,2.635804522542689e-12,4.926366882089911e-12,4.160871425189301e-12,8.204946899299113e-13,,,
190728ZU,,2.958285167527205e-12,,9.418233480229116e-12,,,,,,,5.174189827764224e-12,,,2.5515830967722355e-12,2.8924510117897676e-11,1.0137395391256491e-11,4.545851556352334e-12,1.858007858301601e-13,5.350063824833743e-13,,,,,,,
190728ZV,9.979986599591577e-13,2.9554736364211656e-12,3.426023223148472e-13,6.669668942012027e-12,5.709328642220031e-13,1.7617630936935885e-13,,,,,6.162398714645238e-13,,,2.07490444880516e-13,2.192250730195072e-12,8.504729578957e-13,2.9885444156982855e-13,,,1.512426284946018e-13,2.356851738809573e-13,4.715558622965799e-13,6.184279932287391e-14,,,
190720ZJ,,,,,,,,,,,,,,,,,,,,,,,,,,
190720ZK,,,,,,,,,,,,,,,,,,,,,,,,,,
190720ZL,,,,,,,,,,,,,,,,,,,,,,,,,,
190720ZM,,,,,,,,,,,,,,,,,,,,,,,,,,
190720ZN,,,,,,,,,,,,,,,,,,,,,,,,,,
190720ZO,,,,,,,,,,,,,,,,,,,,,,,,,,
190729ZZ,,,,,,,,,,,,,,3.0756289833316427e-12,2.379995077227643e-11,8.181577650637245e-12,4.548534936441916e-12,,,,,,,,,
190723VV,,,,,,,,,,,,,,,,,,,,,,,,,,
190723VW,,,,,,,,,,,,,,,,,,,,,,,,,,
190723VZ,,,,,,,,,,,,,,7.725405373237721e-11,3.8280710454986007e-10,2.0196036969488403e-10,9.304806059396887e-11,7.318466126355878e-12,3.4829281792267707e-12,,,,,,,
190725ZG,,,,6.204572221670653e-12,,,,,7.219261736462161e-12,7.0369256569861646e-12,2.5260564792243656e-10,5.955672648641827e-12,,,,,,,,,,,,,,
190725ZH,,1.433208577800842e-11,8.424675572120497e-12,3.047995055929974e-11,7.0218067110346625e-12,4.865209541141129e-12,,,,,,,,,,,,,,,,,,,,
190730VC,,,,,,,,,,,,,,,,,,,,,,,,,,
190730VD,,,,,,,,,,,,,,9.267310581300339e-12,3.7084571061107313e-11,1.7378625328341357e-11,9.648498052444428e-12,,,,,,,,,
190730VE,,,,,,,,,,,,,,3.104966442184761e-12,3.2355218178970495e-11,1.5821673018954336e-11,1.0714019411841774e-11,,,,,,,,,
190730VF,,,,,,,,,,,,,,2.6505247412146082e-12,1.7928859312423943e-11,1.3487339544196343e-11,1.422349623868016e-11,,,,,,,,,
190730VG,,,,,,,,,,,,,,,,,,,,,,,,,,
190730VH,,,,,,,,,,,,,,,,8.568751980522639e-13,1.3267339344137166e-12,,,,,,,,,
190727ZK,,,,,,,,,,,,,,,,,,,,,,,,,,
190727VL,,,,,,,,,,,,,,,,,,,,,,,,,,
190727VN,,2.8254550999884025e-12,,5.421530228097275e-12,,,,,1.6485674625894818e-12,1.791400753786094e-12,3.677141387283065e-12,,,,,,,,,,,,,,,
190727VP,,,,7.135419089844108e-13,,,,,,,1.9139784034769917e-12,1.0063774355856616e-13,,,,,,,,,,,,,,
190727VQ,,,,3.74727205464892e-11,5.091360159811802e-12,2.856308660083684e-12,,,,,1.5125582918488802e-11,1.6389705338947789e-12,,,,,,,,,,,8.570660969202235e-13,,,
190721VQ,,,,3.138099554742201e-11,1.5770656468396465e-11,,,,,,,,,,,,,,,,,,,,,
190721VR,3.067322973507149e-11,8.912203976844627e-11,4.777389915592857e-12,5.231567133948468e-11,4.662302070680542e-12,4.652388458081494e-12,,,7.972060513715787e-12,4.8300332931128175e-12,2.455347325617408e-11,,,2.481376665466452e-12,2.039351199675136e-11,8.662391675397647e-12,5.303466036161457e-12,,,1.7318480920952713e-12,4.089421739696237e-12,2.367415356860935e-12,,,,
190721VS,,,,,,,,,,,,,,,1.7877306045198026e-12,1.3518294936402788e-12,1.0251000168826854e-12,,,,,,,,,
190721VT,,,,,,,,,,,,,,,,,,,,,,,,,,
190729VA,,,,,,,,,,,,,,,3.118916542997888e-12,1.8628982125067728e-12,5.805907564152129e-13,,,,,,,,,
190729VX,,,,,,,,,,,,,,,5.5243976151254575e-12,3.34172815858336e-12,,,,,,,,,,
190729VZ,,,,,,,,,,,,,,,5.603582463415103e-12,2.950960993840902e-12,,,,,,,,,,
190718ZB,,,,5.813188736931029e-12,,,,,,,,,,4.903657415229093e-12,1.952505914370185e-11,8.981796779735578e-12,3.247553252076476e-12,,,,,,,,,
190718ZC,,,,8.388372017791159e-12,7.0912089745778106e-12,,,,,,,,,,,,,,,,,,,,,
190718ZD,,1.591083070886237e-11,,3.6742627298071566e-11,1.265420678485986e-11,,,,,,,,,1.076428384563879e-11,4.6865819196944206e-11,1.9741055341836617e-11,9.808643744105329e-12,,,,,,,,,
190719ZE,,,4.471201455480462e-12,,,,,,,8.364102809174963e-13,,,,,,,,,,,,,,,,
190719ZF,,,,,,,,,,,,,,,,,,,,,,,,,,
190719ZG,,,,,,,,,,,,,,1.8796626146543357e-12,1.1860821108791775e-11,3.607728257043412e-12,,,,,,,,,,
190719ZH,,6.5203261950612064e-12,,,,,,,,,,,,1.5147503886544257e-12,6.0120658677435135e-12,1.4590267689649777e-12,,,,,,,,,,
190719ZI,,,,,,,,,,,,,,,,,,,,,,,,,,
190728VU,,,,,,,,,,,,,,,9.850008292959247e-12,4.4655076124962206e-12,2.6907370698216573e-12,,,,,,,,,
190728VV,,,,,,,,,,,,,,4.323904346101616e-13,2.6299910654805866e-12,1.055127381775394e-12,5.478166644510942e-13,,,,,,,,,
190728VW,,,,,,,,,,,,,,1.4741767197920482e-11,9.2452203162464e-11,2.7960370124184183e-11,7.989561614949461e-12,,,,,,,,,
190725VG,4.118036951112434e-12,3.187473655902575e-12,1.144293297782242e-12,8.766324548505379e-12,2.140010952454805e-12,,,4.940445627757411e-12,,3.189102714702982e-12,,,,8.249901633364735e-13,2.00102037159641e-12,4.878171885487336e-13,2.7695926506131296e-13,7.262497454315512e-13,,4.907536081771113e-13,,9.24946261950182e-13,,,,
190725VI,1.9387621141584858e-11,2.183515207659285e-11,2.6540836302017738e-12,9.648694354068869e-12,1.3867402913203498e-12,2.315495818863772e-13,1.152618383546996e-12,7.783855118532048e-13,,,,,,,,,,,,8.227635478068099e-13,9.143462232038571e-13,3.924994860083434e-13,,,,
190724VA,,,3.068273370787744e-13,1.0382358784869008e-13,,,,,,5.699945711070514e-14,,,,,,,,,,,,,,,,
210720SY,1.669285238809857e-12,3.842104688280799e-12,,7.297510649648817e-12,2.0668328561491557e-12,,,,,,,,,2.634006115486308e-13,1.5955484754182694e-12,7.283818241958867e-13,3.290943284194336e-13,,,,,,,,,
210715SA,,,,,,,,,,,,,,,,,,,,,,,,,,
210715SB,,,,,,,,,,,,,,,6.796432211246077e-13,5.301289095753815e-13,4.104043970914334e-13,,,,,,,,,
210715SC,,,,,,,,,,,,,,,,,,,,,,,,,,
210715SD,,,,,,,,,,,,,,,3.9529094462733616e-12,1.6536711937665517e-12,8.704744342790913e-13,,,,,,,,,
210726SX,,6.991966365902785e-12,,3.844763739049045e-11,,,,,9.945488289235332e-12,,5.166194255000623e-10,5.7701088970710776e-12,,,,,,,,,,,,,,
210726SZ,,1.659074421474135e-12,,2.556156692658179e-12,,,,,,,6.8982557757542156e-12,1.3631913248209725e-12,,,,,,,,,,,,,,
210716SE,1.721302212001855e-12,3.2744604830822085e-12,1.445830351281112e-12,6.761812048843814e-12,2.835495326713143e-12,1.077424487386572e-12,,3.466988210142393e-13,,,2.4029448363113288e-11,1.0799755673318882e-12,,,,,,,,,,,5.109688613563489e-13,,,
210722SD,5.563664668841696e-10,1.7304185737787036e-10,2.0397928882451343e-11,8.099948443326534e-10,1.1593560267923358e-09,6.662197433583966e-10,,,5.986710412735506e-11,1.7673913206095742e-11,4.735938963553052e-10,3.291485576181321e-11,1.7677771924039885e-12,8.925963743382059e-12,4.589686126556036e-12,1.9276059726964124e-11,7.290225369079134e-11,1.54117943246128e-12,2.1192911907899014e-10,2.681298438624332e-11,1.8115031860666992e-11,7.392573577371318e-11,8.482124837847358e-11,3.450861610027244e-12,8.525212262693065e-13,5.0557179567252176e-11
210716TG,,5.988541447234919e-12,3.892818124357103e-12,3.335331422068431e-11,2.8380560729441594e-11,7.856643486390574e-12,,,,,7.399865438755908e-12,,,,,,,,,,,,,,,
210716TH,2.8201334715667287e-12,4.349812699859418e-12,,5.96707644897833e-11,7.756846386419676e-12,9.306547944173411e-12,,,,,5.631474632148474e-11,6.12778502900103e-12,,1.3288114371601569e-12,3.2715778918811965e-12,1.7670635236032168e-12,6.312086476982623e-13,5.75808600557253e-13,5.52544662927936e-13,,,2.695270575002952e-12,6.362687096718178e-13,,,
210720TN,9.244880909293106e-13,1.7589719632731599e-12,,5.213594052107835e-12,3.187284623854463e-12,1.3202584031318554e-12,,,2.1447853270310906e-12,1.921840523182347e-12,1.6422497439637804e-10,8.595593895132154e-12,,,,,,,,,,,3.778596161573781e-13,,,
210724TB,,,,,,,,,,,4.128079157607279e-12,,,,,,2.40026735254552e-12,,,,,,,,,
210724SI,,,,,,,,,,,,,,,,,,,,,,,,,,
210724SK,,3.9989419319549134e-13,2.0660600350848402e-13,1.892527840352268e-12,4.474271086640599e-13,2.586854486622724e-13,,,,,8.580797305637065e-12,3.583029677835601e-13,,,,,,,,,7.797942302009073e-14,1.857585107490812e-13,1.0114034005842705e-13,4.8887853603298286e-14,,
210724SL,3.9510687265253613e-13,8.139337682508631e-13,2.3974122544852e-13,3.3520481781941884e-12,1.4005869061797181e-12,3.31490494139897e-13,,,3.660511989043013e-13,3.471520507233426e-13,1.463374126712923e-11,6.599342619233793e-13,,,,,,,,,1.839673488791065e-13,2.8794732724632605e-13,1.748057417210269e-13,,,
